method,method_label,n_seeds,external_target_balanced_accuracy_mean,external_target_balanced_accuracy_ci95,external_target_accuracy_mean,external_target_accuracy_ci95,external_worst_source_accuracy_mean,external_worst_source_accuracy_ci95,external_worst_target_source_accuracy_mean,external_worst_target_source_accuracy_ci95,validation_source_leakage_balanced_accuracy_mean,validation_source_leakage_balanced_accuracy_ci95,external_source_leakage_balanced_accuracy_mean,external_source_leakage_balanced_accuracy_ci95,benchmark,benchmark_key,embedding_table,output_prefix,evidence_level
VERA_selected,VERA abstain/no edit,5,0.80118,0.000458,0.814152,0.000377,0.719572,0.001061,0.623365,0.00178,0.891728,0.001584,0.893511,0.000513,Waterbirds,waterbirds,/Users/rudrachopra/Documents/Science Fair/research/artifacts/waterbirds_official_trace_embeddings.csv,waterbirds_official,official_frozen_embedding_vectorized_receipt
baseline_no_edit,ERM/no edit,5,0.80118,0.000458,0.814152,0.000377,0.719572,0.001061,0.623365,0.00178,0.891728,0.001584,0.893511,0.000513,Waterbirds,waterbirds,/Users/rudrachopra/Documents/Science Fair/research/artifacts/waterbirds_official_trace_embeddings.csv,waterbirds_official,official_frozen_embedding_vectorized_receipt
group_reweighted_erm,Group-reweighted ERM,5,0.868496,0.000708,0.870728,0.000651,0.838246,0.001039,0.818625,0.001229,0.89106,0.001906,0.893511,0.000386,Waterbirds,waterbirds,/Users/rudrachopra/Documents/Science Fair/research/artifacts/waterbirds_official_trace_embeddings.csv,waterbirds_official,official_frozen_embedding_vectorized_receipt
random_erasure_k8,Random erasure k=8,5,0.801401,0.000244,0.81467,0.000392,0.721229,0.001083,0.620872,0.001557,0.893061,0.001309,0.893545,0.00031,Waterbirds,waterbirds,/Users/rudrachopra/Documents/Science Fair/research/artifacts/waterbirds_official_trace_embeddings.csv,waterbirds_official,official_frozen_embedding_vectorized_receipt
source_ranked_erasure_k8,Source-ranked erasure k=8,5,0.79924,0.000681,0.814774,0.000637,0.723231,0.001273,0.611215,0.002831,0.881551,0.001157,0.890749,0.000535,Waterbirds,waterbirds,/Users/rudrachopra/Documents/Science Fair/research/artifacts/waterbirds_official_trace_embeddings.csv,waterbirds_official,official_frozen_embedding_vectorized_receipt
target_preserving_erasure_k8,Target-preserving erasure k=8,5,0.799732,0.001085,0.814152,0.000852,0.721436,0.001403,0.61433,0.002071,0.883217,0.001156,0.889748,0.000328,Waterbirds,waterbirds,/Users/rudrachopra/Documents/Science Fair/research/artifacts/waterbirds_official_trace_embeddings.csv,waterbirds_official,official_frozen_embedding_vectorized_receipt
