config_id,dataset,seed,target_threshold,leakage_threshold,rule,deployed,selected_candidate,selected_method,external_contract_estimable,external_contract_satisfied,measured_external_contract_violation,procedurally_unsupported_deployment,support_mismatch_forced_abstention,confirmatory
Bios|seed=20|tau=0.4|lambda=0.7,Bios,20,0.4,0.7,vera_balanced_iut,False,,,True,NA,False,False,False,True
Bios|seed=20|tau=0.4|lambda=0.7,Bios,20,0.4,0.7,vera_balanced_envelope,False,,,True,NA,False,False,False,True
Bios|seed=20|tau=0.4|lambda=0.7,Bios,20,0.4,0.7,external_balanced_oracle,False,,,True,NA,False,False,False,True
Bios|seed=21|tau=0.4|lambda=0.7,Bios,21,0.4,0.7,always_deploy_balanced,True,TaCo::components_removed=5,TaCo,True,False,True,False,False,True
Bios|seed=21|tau=0.4|lambda=0.7,Bios,21,0.4,0.7,point_selection_balanced,False,,,True,NA,False,False,False,True
Bios|seed=21|tau=0.4|lambda=0.7,Bios,21,0.4,0.7,vera_balanced_iut,False,,,True,NA,False,False,False,True
Bios|seed=21|tau=0.4|lambda=0.7,Bios,21,0.4,0.7,vera_balanced_envelope,False,,,True,NA,False,False,False,True
Bios|seed=21|tau=0.4|lambda=0.7,Bios,21,0.4,0.7,external_balanced_oracle,False,,,True,NA,False,False,False,True
Bios|seed=22|tau=0.4|lambda=0.7,Bios,22,0.4,0.7,always_deploy_balanced,True,TaCo::components_removed=5,TaCo,True,False,True,False,False,True
Bios|seed=22|tau=0.4|lambda=0.7,Bios,22,0.4,0.7,point_selection_balanced,True,TaCo::components_removed=5,TaCo,True,False,True,False,False,True
Bios|seed=22|tau=0.4|lambda=0.7,Bios,22,0.4,0.7,vera_balanced_iut,False,,,True,NA,False,False,False,True
Bios|seed=22|tau=0.4|lambda=0.7,Bios,22,0.4,0.7,vera_balanced_envelope,False,,,True,NA,False,False,False,True
Bios|seed=22|tau=0.4|lambda=0.7,Bios,22,0.4,0.7,external_balanced_oracle,False,,,True,NA,False,False,False,True
Bios|seed=23|tau=0.4|lambda=0.7,Bios,23,0.4,0.7,always_deploy_balanced,True,TaCo::components_removed=5,TaCo,True,True,False,False,False,True
Bios|seed=23|tau=0.4|lambda=0.7,Bios,23,0.4,0.7,point_selection_balanced,True,TaCo::components_removed=5,TaCo,True,True,False,False,False,True
Bios|seed=23|tau=0.4|lambda=0.7,Bios,23,0.4,0.7,vera_balanced_iut,False,,,True,NA,False,False,False,True
Bios|seed=23|tau=0.4|lambda=0.7,Bios,23,0.4,0.7,vera_balanced_envelope,False,,,True,NA,False,False,False,True
Bios|seed=23|tau=0.4|lambda=0.7,Bios,23,0.4,0.7,external_balanced_oracle,True,TaCo::components_removed=5,TaCo,True,True,False,False,False,True
Bios|seed=24|tau=0.4|lambda=0.7,Bios,24,0.4,0.7,always_deploy_balanced,True,TaCo::components_removed=5,TaCo,True,True,False,False,False,True
Bios|seed=24|tau=0.4|lambda=0.7,Bios,24,0.4,0.7,point_selection_balanced,True,TaCo::components_removed=5,TaCo,True,True,False,False,False,True
Bios|seed=24|tau=0.4|lambda=0.7,Bios,24,0.4,0.7,vera_balanced_iut,True,TaCo::components_removed=5,TaCo,True,True,False,False,False,True
Bios|seed=24|tau=0.4|lambda=0.7,Bios,24,0.4,0.7,vera_balanced_envelope,True,TaCo::components_removed=5,TaCo,True,True,False,False,False,True
Bios|seed=24|tau=0.4|lambda=0.7,Bios,24,0.4,0.7,external_balanced_oracle,True,TaCo::components_removed=5,TaCo,True,True,False,False,False,True
Bios|seed=25|tau=0.4|lambda=0.7,Bios,25,0.4,0.7,always_deploy_balanced,True,TaCo::components_removed=5,TaCo,True,False,True,False,False,True
Bios|seed=25|tau=0.4|lambda=0.7,Bios,25,0.4,0.7,point_selection_balanced,False,,,True,NA,False,False,False,True
Bios|seed=25|tau=0.4|lambda=0.7,Bios,25,0.4,0.7,vera_balanced_iut,False,,,True,NA,False,False,False,True
Bios|seed=25|tau=0.4|lambda=0.7,Bios,25,0.4,0.7,vera_balanced_envelope,False,,,True,NA,False,False,False,True
Bios|seed=25|tau=0.4|lambda=0.7,Bios,25,0.4,0.7,external_balanced_oracle,False,,,True,NA,False,False,False,True
Bios|seed=26|tau=0.4|lambda=0.7,Bios,26,0.4,0.7,always_deploy_balanced,True,TaCo::components_removed=5,TaCo,True,True,False,False,False,True
